N,ansatz,H,X_h,L,order,boundary,iterations,nfev_ratio,overlap,E_a,E_t,E_a_t
6,QAOA,TFIM,-1,2,6,hypersphere,10,1.2083333333333333,0.6737055399140394,-4.9525629292273186,-4.657577881047581,-4.968870663531679
7,QAOA,TFIM,-1,2,6,hypersphere,10,41.0,0.9999999999958971,-8.311463778111563,-8.311463778135048,-8.311463778111563
7,QAOA,TFIM,-1,2,6,hypersphere,10,2.3636363636363638,9.035066915571962e-05,-8.311433164225376,-6.116987784469458,-8.311463778123475
7,QAOA,TFIM,-1,2,6,hypersphere,10,1.7222222222222223,0.9999998498525878,-6.042081854389036,-6.042082623086917,-6.042082623053005
7,QAOA,TFIM,-1,2,6,hypersphere,10,1.5714285714285714,0.999999980303439,-8.31146365450758,-8.311463778134527,-8.311463778124743
7,QAOA,TFIM,-1,2,6,hypersphere,10,40.0,0.9999999999956998,-8.311463778112289,-8.311463778134344,-8.311463778112289
7,QAOA,TFIM,-1,2,6,hypersphere,10,1.6666666666666667,0.812382796690413,-6.042040828807844,-5.5930358062707946,-6.04208262309068
7,QAOA,TFIM,-1,2,6,hypersphere,10,2.1052631578947367,0.4251662531740594,-6.042081478790063,-6.116987784460276,-6.042082623084278
7,QAOA,TFIM,-1,2,6,hypersphere,10,2.1333333333333333,0.999998817264681,-6.042078324692427,-6.04208262306782,-6.042082623082113
7,QAOA,TFIM,-1,2,6,hypersphere,10,1.4166666666666667,0.9998374231230193,-8.30993094803183,-8.311463778134543,-8.311463778130571
7,QAOA,TFIM,-1,2,6,hypersphere,10,1.8461538461538463,0.3453687073127561,-6.012619447778947,-6.042082623090972,-6.116987784463683
7,QAOA,TFIM,-1,2,6,hypersphere,10,1.375,0.01776364867238957,-8.303049258956197,-5.895016194803005,-8.311463778124041
7,QAOA,TFIM,-1,2,6,hypersphere,10,1.7083333333333333,0.04356240700739993,-6.042074225484573,-8.311463778123109,-6.042082623093633
7,QAOA,TFIM,-1,2,6,hypersphere,10,40.0,0.11658380768636409,-6.116987784470713,-5.895016194824711,-6.116987784470713
7,QAOA,TFIM,-1,2,6,hypersphere,10,8.333333333333334,0.11658565989182179,-5.895016194746416,-6.1169877843528475,-5.895016194784749
7,QAOA,TFIM,-1,2,6,hypersphere,10,1.625,0.9991166890249646,-8.305974805629566,-8.311463778127683,-8.311463778133735
7,QAOA,TFIM,-1,2,6,hypersphere,10,1.9444444444444444,0.9999997002775604,-6.042081510397022,-6.04208262308839,-6.04208262307003
7,QAOA,TFIM,-1,2,6,hypersphere,10,1.8571428571428572,0.9999999802595729,-8.311463654657528,-8.311463778133557,-8.311463778130712
7,QAOA,TFIM,-1,2,6,hypersphere,10,2.25,0.9886004530604222,-5.868961786175825,-5.895016194798489,-5.895016194800019
7,QAOA,TFIM,-1,2,6,hypersphere,10,28.0,0.9999999999961465,-8.311463778103768,-8.31146377813361,-8.311463778103768
7,QAOA,TFIM,-1,2,6,hypersphere,10,27.0,0.9999999999998169,-6.11698778447072,-6.116987784469616,-6.11698778447072
