N,ansatz,H,X_h,L,order,boundary,iterations,nfev_ratio,overlap,E_a,E_t,E_a_t
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.8333333333333333,0.9999999923708484,-4.653055824155688,-4.653055889416366,-4.653055888992645
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.3333333333333333,0.999999939751736,-4.653055543527671,-4.653055889416364,-4.653055889407936
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.3333333333333333,0.9999999825360945,-4.653055757538383,-4.653055889411962,-4.653055889397408
4,QAOA,TFIM,-1,2,6,hypersphere,10,0.7647058823529411,0.09574444877460182,-4.653055625018275,-1.9999999999961227,-4.653055889415593
4,QAOA,TFIM,-1,2,6,hypersphere,10,7.428571428571429,0.9999999998228236,-4.653055887847646,-4.6530558894149365,-4.653055889335293
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.8461538461538463,0.9999999959842871,-4.653055873506324,-4.653055889417405,-4.653055888850633
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.0,0.9999999578568116,-4.653055737561161,-4.65305588941514,-4.653055889399787
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.8125,0.09581806551333073,-4.653055818383161,-1.9999999999951596,-4.65305588936306
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.4285714285714284,0.9999999932226904,-1.9999999831700825,-1.999999999999974,-1.9999999999972775
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.3333333333333333,0.9957670983632335,-4.653055869095918,-4.6494069434849505,-4.653055889378978
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.176470588235294,0.9999999882019542,-4.653055798051866,-4.653055889416883,-4.6530558894173835
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.7647058823529411,0.9999999905733007,-4.653055852868179,-4.653055889410135,-4.653055889413473
4,QAOA,TFIM,-1,2,6,hypersphere,10,4.25,0.999999967198207,-4.653055771864229,-4.653055889413464,-4.653055889416195
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.9333333333333333,0.9999999300953315,-4.653055693095881,-4.653055889406572,-4.653055889417312
